accuracy,loss,val_accuracy,val_loss
0.6470588445663452,0.9172710180282593,0.8032036423683167,0.5121914148330688
0.7914915680885315,0.5625781416893005,0.8413425087928772,0.4214755594730377
0.8153011202812195,0.4976552426815033,0.8619374632835388,0.36186814308166504
0.8391106724739075,0.4510117173194885,0.8825324177742004,0.3184719979763031
0.8531162738800049,0.418243408203125,0.8886346220970154,0.29168397188186646
0.8627451062202454,0.39090582728385925,0.9046529531478882,0.2652427852153778
0.8704481720924377,0.36540383100509644,0.9054157137870789,0.2453262060880661
0.8853291273117065,0.3421865701675415,0.9153317809104919,0.2271394431591034
0.8776260614395142,0.34570935368537903,0.9130434989929199,0.22570092976093292
0.8946078419685364,0.306410014629364,0.9214340448379517,0.20921216905117035
0.8967086672782898,0.3014379143714905,0.9305873513221741,0.19706645607948303
0.9033613204956055,0.2892620265483856,0.9359267950057983,0.1840626448392868
0.9094887971878052,0.2849423587322235,0.9389778971672058,0.17159883677959442
0.9138655662536621,0.2665766775608063,0.9488939642906189,0.16754215955734253
0.9110644459724426,0.2620771527290344,0.9496567249298096,0.16047926247119904
0.9184173941612244,0.24649325013160706,0.9519450664520264,0.15278306603431702
0.9212185144424438,0.24995189905166626,0.9542334079742432,0.14347222447395325
0.9240196347236633,0.24354612827301025,0.9519450664520264,0.15022264420986176
0.9252451062202454,0.24001763761043549,0.9542334079742432,0.1337847262620926
0.9248949289321899,0.22831076383590698,0.9542334079742432,0.13052017986774445
0.9257702827453613,0.2289189100265503,0.9534706473350525,0.13234543800354004
0.9341736435890198,0.21132038533687592,0.9580472707748413,0.12686851620674133
0.9396008253097534,0.2066321223974228,0.9580472707748413,0.1206570640206337
0.9380252361297607,0.1975480616092682,0.9618611931800842,0.11904206871986389
0.9364495873451233,0.19858556985855103,0.9626239538192749,0.11163777858018875
0.938725471496582,0.1958795040845871,0.9679633975028992,0.11024884879589081
0.9420518279075623,0.18908116221427917,0.9641494750976562,0.10830725729465485
0.944327712059021,0.18259075284004211,0.9656750559806824,0.10318952053785324
0.944327712059021,0.1789960265159607,0.9672006368637085,0.09908240288496017
0.9448529481887817,0.18250851333141327,0.970251739025116,0.09837959706783295
